"item","protein","carbs","fats"
"MCDONALD'S,PREMIUM CRISPY CHICK CLUB SNDWCH",15.38,22.61,3.333
"MCDONALD'S,PREMIUM GRILLED CHICK RANCH BLT SNDWCH",16.7,21.91,1.463
"MCDONALD'S,PREMIUM CRISPY CHICK RANCH BLT SNDWCH",14.7,24.93,1.971
"MCDONALD'S,ENG MUFFIN",9.26,44.36,1.554
"FAST FOODS,BAGEL,W/ HAM,EGG,& CHS",13.97,27.43,4.121
"FAST FOODS,BAGEL,W/ EGG,SAUSAGE PATTY,CHS,& CONDMNT",12.98,22.64,6.396
"FAST FOODS,BAGEL,W/ BRKFST STEAK,EGG,CHS,& CONDMNT",15.95,22.99,5.419
"LIGHT ICE CRM,SOFT SERVE,BLENDED W/ MILK CHOC CANDIES",4.02,26.82,3.633
"LIGHT ICE CRM,SOFT SERVE,BLENDED W/ COOKIE PIECES",3.97,25.55,2.754
"POPEYES,BATTER FRIES,ANALYZED PRIOR TO DECEMBER 2006",4.03,35.06,6.175
"POPEYES,BISCUIT,ANALYZED PRIOR TO NOVEMBER 2006",5.73,41.88,6.933
"POPEYES,COLESLAW",0.98,14.12,1.887
"POPEYES,MILD CHICK STRIPS,ANALYZED 2006",19.2,19.31,5.442
"POPEYES,SPICY CHICK STRIPS,ANALYZED 2006",19.61,18.52,4.743
"KENTUCKY FRIED CHICK,BISCUIT,ANALYZED PRIOR TO JANUARY 2007",7.25,42.51,4.197
"KENTUCKY FRIED CHICK,COLESLAW",0.91,15.65,1.303
"KENTUCKY FRIED CHICK,CRISPY CHICK STRIPS,ANALYZED 2007",20.47,13.72,3.254
"KENTUCKY FRIED CHICK,POPCORN CHICK,ANALYZED PRIOR 2007",18.03,21.3,4.632
"KENTUCKY FRIED CHICK,POTATO WEDGES,ANALYZED PRIOR 2007",4.05,33.55,2.981
"KENTUCKY FRIED CHICK,FRIED CHICK,ORIGINAL RECPE,SKN & BRDING",12.17,17.25,6.916
"KENTUCKY FRIED CHICK,ORIGINAL RECIPE,BREAST,MEAT ONLY",29.46,0,1.281
"KENTUCKY FRIED CHICK,ORIGINAL RECIPE,DRUMSTK,MEAT ONLY",26.92,0.49,2.114
"KENTUCKY FRIED CHICK,ORIGINAL RECIPE,THIGH,MEAT ONLY",23.3,0.28,2.607
"KENTUCKY FRIED CHICK,ORIGINAL RECIPE,WING,MEAT ONLY",30.67,1.93,2.619
"KENTUCKY FRIED CHICK,FRIED CHICK,EX CRISPY,SKN & BRDING",10.84,21.66,7.958
"KENTUCKY FRIED CHICK,EX CRISPY,BREAST,MEAT ONLY",29.47,0.15,1.161
"KENTUCKY FRIED CHICK,EX CRISPY,DRUMSTK,MEAT ONLY",26.75,0.89,2.089
"KENTUCKY FRIED CHICK,EX CRISPY,THIGH,MEAT ONLY",23.5,1.18,2.394
"KENTUCKY FRIED CHICK,EX CRISPY,WING,MEAT ONLY",30.05,4.34,3.191
"KENTUCKY FRIED CHICK,ORIGINAL RECIPE,BREAST,MEAT & SKN",24.15,5.29,3.011
"KENTUCKY FRIED CHICK,ORIGINAL RECIPE,DRUMSTK,MEAT & SKN",22.48,5.53,3.559
"KENTUCKY FRIED CHICK,ORIGINAL RECIPE,THIGH,MEAT & SKN",18.88,7.02,4.318
"KENTUCKY FRIED CHICK,ORIGINAL RECIPE,WING,MEAT & SKN",23.29,8.04,4.334
"KENTUCKY FRIED CHICK,FRIED CHICK,EX CRISPY,BREAST,MEAT & SKN",22.6,8.09,3.669
"KENTUCKY FRIED CHICK,FRIED CHICK,EX CRISPY,DRUMSTK,MEAT & SK",21.13,8.22,4.161
"KENTUCKY FRIED CHICK,FRIED CHICK,EX CRISPY,THIGH,MEAT & SKN",17.71,10.54,4.937
"KENTUCKY FRIED CHICK,FRIED CHICK,EX CRISPY,WING,MEAT & SKN",21.52,12.03,5.307
"POPEYES,FRIED CHICK,MILD,BREAST,MEAT ONLY,SKN",29.11,0.99,1.561
"POPEYES,FRIED CHICK,MILD,DRUMSTK,MEAT ONLY",26.22,1.18,2.223
"POPEYES,FRIED CHICK,MILD,SKN & BREADING",12.02,20.85,11.716
"POPEYES,FRIED CHICK,MILD,THIGH,MEAT ONLY",24.2,0.6,3.361
"POPEYES,FRIED CHICK,MILD,WING,MEAT ONLY,SKN",29.39,3.11,3.664
"POPEYES,FRIED CHICK,SPICY,BREAST,MEAT ONLY",29.04,0.25,1.588
"POPEYES,FRIED CHICK,SPICY,DRUMSTK,MEAT ONLY",26.33,0.33,2.602
"POPEYES,FRIED CHICK,SPICY,SKN & BREADING",12.39,19.39,12.348
"POPEYES,FRIED CHICK,SPICY,THIGH,MEAT ONLY,SKN & BREADING",24.21,0.52,3.299
"POPEYES,FRIED CHICK,SPICY,WING,MEAT ONLY",29.71,2.45,3.881
"POPEYES,FRIED CHICK,SPICY,BREAST,MEAT & SKN W/ BREADING",23.1,7.08,5.429
"POPEYES,FRIED CHICK,SPICY,DRUMSTK,MEAT & SKN W/ BREADING",22.55,5.49,5.243
"POPEYES,FRIED CHICK,SPICY,THIGH,MEAT & SKN W/ BREADING",19.03,8.79,7.263
"POPEYES,FRIED CHICK,SPICY,WING,MEAT & SKN W/ BREADING",20.22,11.74,8.521
"POPEYES,FRIED CHICK,MILD,BREAST,MEAT & SKN W/ BREADING",22.96,8.14,5.216
"POPEYES,FRIED CHICK,MILD,DRUMSTK,MEAT & SKN W/ BREADING",20.19,9.54,6.257
"POPEYES,FRIED CHICK,MILD,THIGH,MEAT & SKN W/ BREADING",18.63,9.85,7.179
"POPEYES,FRIED CHICK,MILD,WING,MEAT & SKN W/ BREADING",20.06,12.64,7.987
"MCDONALD'S,BISCUIT,LRG SIZE",6.16,43.76,9.26
"KRAFT MACARONI & CHEESE DINNER ORIGINAL FLAVOR,UNPREP",16.2,67.9,1.8
"MORNINGSTAR FARMS GARDEN VEGGIE PATTIES,FRZ,UNPREP",17.8,13.7,0.8
"MORNINGSTAR FARMS AMERICA'S ORIGINAL VEGGIE DOG,FRZ,UNPREP",19.7,12.3,0.2
"MORNINGSTAR FARMS GRILLERS RECIPE CRUMBLES,FRZ,UNPREP",17.8,7.7,0.5
"MORNINGSTAR FARMS GRILLERS VEGAN,FRZ,UNPREP",16.3,9.1,0.5
"MORNINGSTAR FARMS VEGGIE SAUSAGE PATTIES,FRZ,UNPREP",25.8,8.8,1.1
"MORNINGSTAR FARMS SPICY BLACK BEAN BURGER,FRZ,UNPREP",16.1,19.7,0.8
"GREEN GIANT,HARVEST BURGER,ORIG FLAV,ALL VEG PROT PATTY,FRZ",20,7.8,1.13
"LOMA LINDA BIG FRANKS,CND,UNPREP",21.47,5.77,1.61
"MORNINGSTAR FARMS VEGAN BURGER MADE W/ ORG SOY,FRZ,UNPREP",18.9,10.7,0.3
"NESTLE,CHEF-MATE CHILI W/BNS,CND",7,13.5,4
"NESTLE,CHEF-MATE CHILI WO/BNS,CND",9,8,3.037
"NESTLE,CHEF-MATE CORNED BF HASH,CND",8.3,11,5.5
"Macaroni and Cheese, canned entree",3.38,11.52,0.881
"JIMMY DEAN,SAUSAGE BISCUITS,BRKFST SNDWCH,FRZ",9.9,24.1,8.97
"SPAGHETTI W/ MEAT SAU,FRZ ENTREE",5.05,15.24,0.35
"HEALTHY CHOIC BF MACARONI,FRZ ENTREE",5.89,13.94,0.28
"NALLEY CHILI CON CARNE W/BNS,CND ENTREE",15.6,4.6,1.08
"OLD EL PASO CHILI W/BNS,CND ENTREE",7.7,9.5,0.904
"CHEF BOYARDEE BF RAVIOLI IN TOMATO & MEAT SAU,CND ENTREE",3.3,13.58,1.16
"CHEF BOYARDEE BEEFARONI,MACARONI W/BEEF IN TOMATO SAU,CND",3.3,13.58,1.16
"CHEF BOYARDEE MINI RAVIOLI,BF RAVIOLI TOMATO, MEAT SAU,CND",3.27,12.36,1.37
"CHEF BOYARDEE SPAGHETTI & MEATBALLS IN TOMATO SAU,CND ENTREE",4.37,11.9,1.59
"PASTA W/SLICED FRANKS IN TOMATO SAU,CND ENTREE",3.7,11.9,1.47
"BANQUET CHICK POT PIE,FRZ ENTREE'",5.59,18.02,4.19
"MARIE CALLENDER'S CHICK POT PIE,FRZ ENTREE",6.83,19.18,4.1
"STOUFFER'S CHICK PIE,FRZ ENTREE",7.17,22.59,6.29
"TURKEY POT PIE,FRZ ENTREE",6.5,17.7,2.88
"BEEF POT PIE,FRZ ENTREE,PREP",7.25,22.05,4.149
"HOT POCKETS,BF&CHEDDAR STUFFED SNDWCH,FRZ",11.5,27.6,6.2
"HOT POCKETS,CROISSANT POCKTS CHIK,BROC&CHDR STUFD SNDWCH,FRZ",8.9,30.4,2.62
"HOT POCKETS HAM 'N CHS STUFFED SNDWCH,FRZ",11.6,30,4.52
"RED BARON PREMIUM POCKETS,ORIGINAL HAM&CHS,FRZ",11.2,27.2,4.66
"STOUFFER'S STUFFED PEPPERS W/ BF IN TOMATO SAU,FRZ ENTREE",3.72,8.73,1.01
"STOUFFER'S LASAGNA W/ MEAT & SAU,FRZ ENTREE",8.04,12.57,1.9
"BANQUET ORIG FRIED CHK THIGH,W/MASH POT & CORN IN SEASON SAU",9.59,13.35,1.92
"STOUFFER'S LN CUISINE SPAGHETTI W/ MEATBALLS & SAU,FRZ ENTRE",6.68,12.27,0.75
"STOUFFER'S LN CUISINE SWEDISH MEATBALLS W/ PASTE,FRZ ENTREE",8.56,12.14,1.08
"STOUFFER'S LN CUISINE MACARONI & BF IN TOMATO SAU,FRZ ENTREE",6.07,13.23,0.59
"STOUFFER'S LN CUISINE CHICK & VEG W/ VERMICELLI,FRZ ENTREE",6.68,8.91,0.63
"STOUFFER'S LN CUISINE HS BF POT RST W/ WHIPPED POTATOES,FRZ",4.98,8.29,0.54
"STOUFFER'S CRMD CHIPPED BF,FRZ ENTREE",7.52,7.07,3.31
"STOUFFER'S LN CUISINE SPAGHETTI W/ MEAT SAU,FRZ ENTREE",4.31,14.91,0.34
"STOUFFER'S LN CUISINE ORIENTAL BF W/ VEG & RICE,FRZ ENTREE",4.96,11.05,0.42
"STOUFFER'S HOMESTYLE SALISBURY STEAK IN GRAVY & MAC& CHS,FRZ",6.36,7.47,1.8
"PATIO BF & BEAN BURRITO,MILD,FRZ",6.52,30.15,2.44
"STOUFFER'S LN CUISINE HS STUFF CAB W/ MEAT SAU&WHPED POT,FRZ",4.03,9.07,0.64
"HEALTHY CHOIC CHICK TERIYAKI W/RICE MEDLEY BROCCOLI,FRZ MEAL",5.03,11.43,0.51
"HC CHK ENCHI SUPMA IN GRN CHILI SAU,MEXI  RICE,CORN MELY,FRZ",3.79,18.2,1.03
"CINNAMON SWIRL FRENCH TOAST W/SAUSAGE,FRZ BRKFST",8.4,24.5,4.68
"SCRAMBLED EGGS&SAUSAGE W/HASHED BROWN POTATOES,FRZ BRKFST",7.1,9.7,4.15
"GREEN GIANT,BROCCOLI IN CHS FLAV SAU,FRZ",2.3,8.9,0.48
"THE BUDGET GOURMET,SPINACH AU GRATIN,FRZ",4.3,7.4,4.9
"BANQUET TKY & GRY W/DRESS ,MSHD POT & PEA IN SEASON SAU,FRZ",5.93,10.87,0.85
"STOUFF LN CUISIN CHK ENCH SUIZA W/CRM SAU & MEXI-STYL RICE",4.16,18.38,0.64
"STOUFFER'S CHK ENCHILA MEXIC-STY RICE W/ MONREY JACK CHS SAU",5.42,21.54,2.6
"SMART ONES,CHICK ENCHILADAS SUIZA,SOUR CRM W/CHEESE,FRZ",5.3,17.7,1.4
"SMART ONES,RST TKY MEDALLIONS,MSHRM IN SAU W/RICE & VEG,FRZ",5,14.9,0.2
"MARIE CALLENDER'S BF STROGANOFF & NOODLES, CARROTS, PEAS,FRZ",6.69,10.75,1.95
"BREAKFAST BURRITO,HAM&CHS FLAVOR,FRZ ENTREE",9.7,28.1,2.01
"TYSON CHICK FAJITA KIT,FRZ,PROD CD #2266-910",6.37,16.22,0.8
"BANQUET HEARTY ONE STK DIN,GRY,MSHD POT, CORN SEASON SAU,FRZ",5.13,9.92,3.21
"KID CUISINE CHK NUG, PSTA IN CHS SAU,CRN,CHOC PUDD W/SPRINK",7.2,19.77,2.16
"BANQUET SLCED BF W/GRY, MASH POT, PEAS SEASON SAUC, FROZEN",8.8,6.46,1.23
"HORMEL,DINTY MOORE BF STEW,CND ENTREE",4.79,6.81,2.39
"HORMEL CORNED BF HASH,CND ENTREE",8.73,9.27,4.32
"BETTY CROCKER,HAMBURGER HELPER,CHEESEBURGER MACARONI,DRY MIX",11,64.3,2.82
"HODGSON MILL,WHL WHEAT MACARONI&CHS DINNER,DRY MIX",14.1,69.2,1.37
"LIPTON,ALFREDO EGG NOODLES IN A CREAMY SAU,DRY MIX",15.5,62.4,4.57
"HORMEL CHILI,NO BNS,CND ENTREE",7.2,7.59,0.93
"HORMEL TURKEY CHILI W/BNS,CND ENTREE",7.58,10.35,0.27
"FREEZER QUEEN GRAVY&SLICED BF MEAL,MSHD POT&CARROTS,FRZ MEAL",6,10,0.51
"BANQUET GRY & SALURY STK W/ MSHD POT & CORN IN SEASONSAU,FRZ",5.64,9.88,3.49
"HEALTHY CHOIC MESQ CHK BBQ,RSTD RED POT,MXD VEG IN SAU,FRZ",5.67,14.16,0.39
"STAGG DYNAMITE CHILI W/BNS,CND ENTREE",7.4,12.44,2.29
"STAGG RANCHHOUSE CHILI W/BNS,CND ENTREE",7.78,12.78,1.06
"STAGG CLASSIC CHILI W/BNS,CND ENTREE",6.97,11.83,2.71
"STAGG COUNTRY CHILI W/BNS,CND ENTREE",6.27,11.74,2.77
"STAGG SILVERADO CHILI W/BNS,CND ENTREE",7.29,13.39,0.39
"HORMEL CHILI W/BNS,CND ENTREE",6.71,13.63,0.74
"HORMEL VEGETARIAN CHILI W/BNS,CND ENTREE",4.83,15.39,0.05
"HORMEL RST BF HASH,CND ENTREE",9.03,9.71,4.2
"TORTELLINI,PASTA W/CHS FILLING",13.5,47,3.6
"PIZZA,PEPPERONI TOPPING,REG CRUST,FRZ,CKD",11.21,28.51,4.792
"CHILI CON CARNE W/BNS,CND ENTREE",7.09,11.43,1.74
"BEEF STEW,CANNED ENTREE",4.94,6.77,2.22
"CHICKEN POT PIE,FRZ ENTREE,PREP",6.08,23.03,3.613
"PASTA W/MEATBALLS IN TOMATO SAU,CND ENTREE",4.32,12.29,1.59
"BEEF,CORNED BF HASH,W/ POTATO,CND",8.73,9.27,4.32
"LASAGNA,CHS,FRZ,PREP",6.54,13.84,2.11
"CHILI,NO BNS,CND ENTREE",7.53,6.1,2.255
"SPAGHETTI,W/ MEATBALLS,CND",4.17,11.11,1.98
"SPAGHETTI,NO MEAT,CND",2.54,14.56,0.232
"LASAGNA W/ MEAT & SAU,LOW-FAT,FRZ ENTREE",6.81,13.5,0.967
"LASAGNA W/ MEAT & SAU,FRZ ENTREE",8.26,12.87,2.245
"BURRITO,BF & BEAN,FRZ",7.26,30.84,2.949
"BURRITO, BEAN AND CHEESE, FROZEN",6.92,32.4,1.573
"HC TRADITION MT LF W/BRN SAU,MSHD POTS,GRN BNS & APL CRP,FRZ",5.17,10.8,0.62
"HC SALBRY STK W/MSHRM GRVY,RST RED POT,GRN BNS,CRN,CART MEDY",6.03,12.69,0.87
"HC CONTRY RSTD TKY W/CRANBERRY APPL SAU,GRN BNS & CARROT BLD",5.83,11.09,0.42
"HC MESQ BF W/BBQ SAU,RSTD RED POT & CORN,CAROT PEA MELEY,FRZ",7.14,14.44,0.87
"MARIE CALLENDER TKY W/GRY & DRSNG W/ MSHD POT,GRN BNS & CRAN",8.15,11.35,0.63
"WEIGHT WATCHERS SMART ONES,CHICK TENDERLOINS W/ BBQ SAU",6.7,13.3,0.3
"MORNINGSTAR FARMS VEGGIE MEDLEY W/ ORG SOY,FRZ,UNPREP",15.9,15.8,0.7
"BURRITO,BEAN & CHS,MICROWAVED",8.6,40.37,1.933
"BURRITO,BF & BEAN,MICROWAVED",8.73,38.95,4.072
"CAMPBELL,SPAGHETTIOS,MINI BF RAVIOLI IN MEAT SAU",4.25,16.6,0.772
"CAMPBELL,SPAGHETTIOS,SPAGHETTI IN TOMATO & CHS SAU",2.78,15.87,0.198
"CAMPBELL SOUP COMPANY,SPAGHETTIOS,SPAGHETTIOS ORIGINAL",2.38,14.68,0
"CAMPBELL SOUP COMPANY,SPAGHETTIOS,SPAGHETTIOS A TO Z'S",2.38,14.29,0.198
"SPAGHETTIOS, Danny PhantomShaped Pasta with Sliced Franks",3.57,13.1,0.992
"CAMPBELL, SPAGHETTIOS,DORA THE EXPLORERSHAPED PASTA",2.38,13.1,0.198
"CAMPBELL SOUP COMPANY,SPAGHETTIOS,SPAGHETTIOS IN MEAT SAU",3.17,12.3,0.397
"CAMPBELL ,SPAGHETTIOS,SPAGHETTIOS PLUS CA",2.38,13.89,0.198
"CAMPBELL ,SPAGHETTIOS RAVIOLIOS BF RAVIOLI IN MEAT SAU",4.37,15.08,1.389
"CAMPBELL SOUP COMPANY,SPAGHETTIOS,SPAGHETTIO'S W/ MEATBALLS",4.37,12.7,1.389
"CAMPBELL ,SPAGHETTIOS,SPAGHETTIO'S W/ SLICED FRANKS",3.57,10.71,1.984
"CAMPBELL,SPAGHTETTIOS A TO Z'S W/ MEATBALLS",4.37,13.1,1.389
"CAMPBELL ,SUPPER BAKES MEAL KITS,CHEESY CHICK W/ PASTA",7.06,31.76,1.176
"SUPPER BAKES MEAL KITS,CREAMY STROGANOFF SAU W/ PASTA",4.8,24.8,1.2
"CAMPBELL,SUPPER BAKES MEAL KITS,GARLIC CHICK W/ PASTA",9.76,42.93,0.488
"CAMPBELL, SUPPER BAKES MEAL KITS,HERB CHICK W/ RICE",4.26,42.55,0.532
"CAMPBELL SUPPER BAKES MEAL KITS,LEMON CHICK W/ HERB RICE",4.26,45.74,0.532
"CAMPBELL,SUPPER MEAL KITS,SAVORY PORK CHOPS W/ HERB STUFFING",5.91,36.64,0.591
"CAMPBELL,SUPPER BAKES MEAL KITS,SOUTHWEST-STYLE CHICK W/RICE",4.94,39.51,0.617
"CAMPBELL,SUPPER BAKES MEAL KITS,TRDNL RST CHK W/ STUFFING",2.03,11.79,0.407
"CAMPBELL SOUP COMPANY,SWANSON,CHICK A LA KING",4.7,4.03,1.174
"CAMPBELL SOUP COMPANY,SWANSON,CHICK & DUMPLINGS",4.45,9.72,1.822
"EGG ROLLS,PORK,REFR,HTD",9.94,29.5,1.588
"EGG ROLLS,CHICK,REFR,HTD",10.44,28.54,0.964
"EGG ROLLS,VEG,REFR,HTD",6.62,31.99,0.756
"LASAGNA,VEG,FRZ,BKD",6.87,14.18,2.422
"TKY,STUFFING,MSHD POTATOE W/GRAVY,ASSORTED VEG,FRZ,MICROWAVE",6.97,16.32,0.89
"RICE BOWL W/ CHICK,FRZ ENTREE,PREP",5.65,22.46,0.327
"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,ALL GRDS,RAW",18.8,0,7.42
"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",23.51,0,8.42
"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,SEL,RAW",20.72,0,6.01
"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,SEL,CKD,BRLD",24.05,0,8.34
"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,ALL GRDS,RAW",19.19,0,6.14
"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",24.33,0,7.56
"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,SEL,RAW",19.89,0,4.81
"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,SEL,CKD,BRLD",25.01,0,6.91
"BEEF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,CHOIC,RAW",21.41,0,1.755
"BF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,CH,CKD,GRILLED",28.79,0,2.218
"BEEF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT 0"" FAT,SEL,RAW",21.96,0,1.225
"BF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,SE,CKD,GRILLED",29.24,0,1.267
"BF,CHK,CLOD,SHLDR TENDER,MEDALLION,LN & FAT,0"" FAT,CHOIC,RAW",20.51,0,2.328
"BF,CHK,CLOD,SHDR TNDR,MED,LN & FAT,0"" FAT,CH,CKD,GRILLED",26.07,0,2.737
"BF,CHK,CLOD,SHLDR TENDER,MEDALLION,LN & FAT,0"" FAT,SEL,RAW",20.93,0,1.988
"BEEF,CHUCK,SHLDR CLOD,TOP & CNTR ,STK,LN & FAT,0"" FAT,CH,RAW",20.39,0,2.083
"BF,CHK,SHLDR CLOD,TOP & CNTR,STK,LN & FAT,0"" FAT,CH,CKD,GRLD",26.07,0,3.031
"BF,CHUCK,SHLDR CLOD, TOP & CNTR,STK,LN & FAT,0"" FAT,SEL,RAW",21.13,0,1.791
"BF,CHK, CLOD,TOP & CNTR,STK,LN & FAT,0"" FAT,SEL,CKD,GRLD",26.66,0,2.235
"BF,CHK,SHLDR CLOD,TOP BLADE,STEAK,LN & FAT,0"" FAT,CHOIC,RAW",18.75,0,4.186
"BF,CHK,CLOD,TOP BLADE,STEAK,LN & FAT,0"" FAT,CH,CKD,GRILLED",24.7,0,5.432
"BF,CHUCK,SHLDR CLOD,TOP BLADE,STEAK,LN & FAT,0"" FAT,SEL,RAW",19.38,0,3.464
"BF,CHK,CLOD,TOP BLADE,STEAK,LN & FAT,0"" FAT,SEL,CKD,GRILLED",25.29,0,4.423
"BEEF,RND,KNUCKLE,TIP CNTR,STEAK,LN & FAT,0"" FAT,CHOIC,RAW",20.74,0,2.3
"BF,RND,KNUCKLE,TIP CNTR,STK,LN & FAT,0"" FAT,CHOIC,CKD,GRLD",26.88,0,2.759
"BEEF,RND,KNUCKLE,TIP CNTR,STEAK,LN & FAT,0"" FAT,SEL,RAW",20.98,0,1.89
"BF,RND,KNUCKLE,TIP CNTR,STEAK,LN & FAT,0"" FAT,SE,CKD,GRILLED",26.61,0,2.063
"BF,RND,OUTSIDE RND,BTTM RND,STEAK,LN & FAT,0"" FAT,CHOIC,RAW",21.24,0,2.301
"BF,RND,OUT RND,BTTM RND,STK,LN & FAT,0"" FAT,CH,CKD,GRILLED",27.22,0,2.954
"BEEF,RND,OUTSIDE RND,BTTM RND,STEAK,LN & FAT,0"" FAT,SEL,RAW",22.15,0,1.4
"BF,RND,OUT RND,BTTM RND,STEAK,LN & FAT,0"" FAT,SE,CKD,GRILLED",28.01,0,1.716
"BF,CHK,CLD,SHLDR TNDR,MEDALLION,LN & FAT,0"" FAT,ALL GRDS,RAW",20.54,0,2.088
"BF,CHK,CLD,SHDR TNDR,MED,LN & FAT,0"" FAT,ALL GRDS,CK,GRLD",26.22,0,2.833
"BEEF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,ALL GRDS,RAW",21.69,0,1.578
"BF,RND,KNUCK,TIP SIDE,STK,LN & FAT,0"" FAT,ALL GRDS,CKD,GRLD",29.08,0,1.901
"BF,CHUCK,CLOD,TOP & CNTR,STEAK,LN & FAT,0"" FAT,ALL GRDS,RAW",20.67,0,1.985
"BF,CHK,CLD,TOP & CNTR ,STK,LN & FAT,0"" FAT,ALL GRDS,CK,GRLD",26.3,0,2.765
"BEEF,CHUCK,CLOD,TOP BLADE,STEAK,LN & FAT,0"" FAT,ALL GRDS,RAW",18.99,0,3.945
"BF,CHUCK,CLOD,TOP BLADE,STK,LN & FAT,0"" FAT,ALL,CKD,GRLD",24.93,0,5.095
"BEEF,RND,KNUCKLE,TIP CNTR,STEAK,LN & FAT,0"" FAT,ALL GRDS,RAW",20.93,0,2.163
"BF,RND,KNUCKLE,TIP CNTR,STK,LN & FAT,0"" FAT,ALL,CKD,GRLD",27.12,0,2.527
"BF,RND,OUTSIDE RND,BTTM RND,STEAK,LN & FAT,0"" FAT,ALL,RAW",21.59,0,2
"BF,RND,OUT RND,BTTM RND,STK,LN & FAT,0"" FAT,ALL GRDS,CK,GRLD",27.52,0,2.541
"BF,CHK, CLOD,SHLDR TENDER,MED,LN & FAT,0"" FAT,SE,CKD,GRILLED",26.45,0,1.7
"USDA COMMODITY,BF PATTIES W/VPP,FRZ,CKD",15.64,7.89,6.253
"USDA COMMODITY,BF,GROUND BULK/COARSE GROUND,FRZ,CKD",26.06,0,5.744
"USDA COMMODITY,BF,PATTIES (100%),FRZ,CKD",22.98,0.91,6.252
"USDA COMMODITY,BF PATTIES W/VPP,FRZ,RAW",15.21,3.84,5.872
"USDA COMMODITY,BF,PATTIES (100%),FRZ,RAW",14.63,0,6.333
"USDA COMMODITY,BF,GROUND,BULK/COARSE GROUND,FRZ,RAW",17.37,0,6.813
"BEEF,CHUCK,MOCK TENDER STK,LN,0"" FAT,ALL GRDS,CKD,BRLD",25.9,0,1.828
"BEEF,CHUCK,TOP BLADE,LN ONLY,TO 0"" FAT,ALL GRDS,CKD,BRLD",26.13,0,3.25
"BEEF,CHUCK,CLOD RST,LN,0"" FAT,ALL GRDS,CKD,RSTD",26.82,0,2.037
"BEEF,CHUCK,CLOD STEAK,LN ONLY,TO 0"" FAT,ALL GRDS,CKD,BRSD",29.87,0,2.267
"BEEF,CHCK,MCK TENDER STK,LN & FAT,0"" FAT,USDA CHOIC,CKD,BRLD",25.73,0,1.721
"BEEF,CHUCK,MOCK TENDER STK,LN & FAT,0"" FAT,USDA SEL,CKD,BRLD",26.08,0,2.09
"BEEF,CHUCK,TOP BLADE,LN & FAT,0"" FAT,USDA CHOIC,CKD,BRLD",25.77,0,4.162
"BEEF,CHUCK,TOP BLADE,LN & FAT,0"" FAT,USDA SEL,CKD,BRLD",25.67,0,3.533
"BEEF,CHUCK,CLOD RST,LN & FAT,0"" FAT,USDA CHOIC,CKD,RSTD",24.61,0,4.285
"BEEF,CHUCK,CLOD RST,LN & FAT,0"" FAT,USDA SEL,CKD,RSTD",27.3,0,3.349
"BEEF,CHUCK,CLOD STEAK,LN & FAT,0"" FAT,USDA CHOIC,CKD,BRSD",28.06,0,4.157
"BEEF,CHUCK,CLOD STEAK,LN & FAT,0"" FAT,USDA SEL,CKD,BRSD",29.84,0,3.183
"BEEF,PLATE,SKIRT STEAK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",26.13,0,4.666
"BEEF,PLATE,OUTSIDE SKIRT,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",23.51,0,7.083
"BEEF,SIRLOIN,TRI-TIP STK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",29.97,0,5.707
"BEEF,CHUCK,MOCK TENDER STK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",25.87,0,1.871
"BEEF,CHUCK,TOP BLADE,LN & FAT,0"" FAT,ALL GRDS,CKD,BRLD",25.73,0,3.906
"BEEF,CHUCK,CLOD RST,LN & FAT,0"" FAT,ALL GRDS,CKD,RSTD",25.7,0,3.904
"BEEF,CHUCK,CLOD STEAK,LN & FAT,0"" FAT,ALL GRDS,CKD,BRSD",28.79,0,3.76
"BEEF,GROUND,95% LN MEAT / 5% FAT,RAW",21.41,0,2.25
"BEEF,GROUND,95% LN MEAT / 5% FAT,PATTY,CKD,BRLD",26.29,0,2.977
"BEEF,GROUND,95% LN MEAT / 5% FAT,PATTY,CKD,PAN-BROILED",25.8,0,2.698
"BEEF,GROUND,95% LN MEAT / 5% FAT,CRUMBLES,CKD,PAN-BROWNED",29.17,0,3.441
"BEEF,GROUND,95% LN MEAT / 5% FAT,LOAF,CKD,BKD",27.31,0,2.891
